date,ibov_adj,ibov
01/03/2019,94603,94603
28/02/2019,95584,95584
27/02/2019,97307,97307
26/02/2019,97602,97602
25/02/2019,97239,97239
22/02/2019,97885,97885
21/02/2019,96932,96932
20/02/2019,96544,96544
19/02/2019,97659,97659
18/02/2019,96509,96509
15/02/2019,97525,97525
14/02/2019,98015,98015
13/02/2019,95842,95842
12/02/2019,96168,96168
11/02/2019,94412,94412
08/02/2019,95343,95343
07/02/2019,94405,94405
06/02/2019,94635,94635
05/02/2019,98311,98311
04/02/2019,98588,98588
01/02/2019,97861,97861
31/01/2019,97393,97393
30/01/2019,96996,96996
29/01/2019,95639,95639
28/01/2019,95443,95443
25/01/2019,,
24/01/2019,97677,97677
23/01/2019,96558,96558
22/01/2019,95103,95103
21/01/2019,96009,96009
18/01/2019,96096,96096
17/01/2019,95351,95351
16/01/2019,94393,94393
15/01/2019,94055,94055
14/01/2019,94474,94474
11/01/2019,93658,93658
10/01/2019,93805,93805
09/01/2019,93613,93613
08/01/2019,92031,92031
07/01/2019,91699,91699
04/01/2019,91840,91840
03/01/2019,91564,91564
02/01/2019,91012,91012
31/12/2018,,
28/12/2018,87887,87887
27/12/2018,85460,85460
26/12/2018,85136,85136
24/12/2018,,
21/12/2018,85697,85697
20/12/2018,85269,85269
19/12/2018,85673,85673
18/12/2018,86610,86610
17/12/2018,86399,86399
14/12/2018,87449,87449
13/12/2018,87837,87837
12/12/2018,86977,86977
11/12/2018,86419,86419
10/12/2018,85914,85914
07/12/2018,88115,88115
06/12/2018,88846,88846
05/12/2018,89039,89039
04/12/2018,88624,88624
03/12/2018,89820,89820
30/11/2018,89504,89504
29/11/2018,89709,89709
28/11/2018,89250,89250
27/11/2018,87891,87891
26/11/2018,85546,85546
23/11/2018,86230,86230
22/11/2018,87477,87477
21/11/2018,87268,87268
20/11/2018,,
19/11/2018,87900,87900
16/11/2018,88515,88515
14/11/2018,85973,85973
13/11/2018,84914,84914
12/11/2018,85524,85524
09/11/2018,85641,85641
08/11/2018,85620,85620
07/11/2018,87714,87714
06/11/2018,88668,88668
05/11/2018,89598,89598
01/11/2018,88419,88419
31/10/2018,87423,87423
30/10/2018,86885,86885
29/10/2018,83796,83796
26/10/2018,85719,85719
25/10/2018,84083,84083
24/10/2018,83063,83063
23/10/2018,85300,85300
22/10/2018,85596,85596
19/10/2018,84219,84219
18/10/2018,83847,83847
17/10/2018,85763,85763
16/10/2018,85717,85717
15/10/2018,83359,83359
11/10/2018,82921,82921
10/10/2018,83679,83679
09/10/2018,86087,86087
08/10/2018,86083,86083
05/10/2018,82321,82321
04/10/2018,82952,82952
03/10/2018,83273,83273
02/10/2018,81612,81612
01/10/2018,78623,78623
28/09/2018,79342,79342
27/09/2018,80000,80000
26/09/2018,78656,78656
25/09/2018,78630,78630
24/09/2018,77984,77984
21/09/2018,79444,79444
20/09/2018,78116,78116
19/09/2018,78168,78168
18/09/2018,78313,78313
17/09/2018,76788,76788
14/09/2018,75429,75429
13/09/2018,74686,74686
12/09/2018,75124,75124
11/09/2018,74656,74656
10/09/2018,76436,76436
06/09/2018,76416,76416
05/09/2018,75092,75092
04/09/2018,74711,74711
03/09/2018,76192,76192
31/08/2018,76677,76677
30/08/2018,76404,76404
29/08/2018,78388,78388
28/08/2018,77473,77473
27/08/2018,77929,77929
24/08/2018,76262,76262
23/08/2018,75633,75633
22/08/2018,76902,76902
21/08/2018,75180,75180
20/08/2018,76327,76327
17/08/2018,76028,76028
16/08/2018,76818,76818
15/08/2018,77077,77077
14/08/2018,78602,78602
13/08/2018,77496,77496
10/08/2018,76514,76514
09/08/2018,78767,78767
08/08/2018,79151,79151
07/08/2018,80346,80346
06/08/2018,81050,81050
03/08/2018,81434,81434
02/08/2018,79636,79636
01/08/2018,79301,79301
31/07/2018,79220,79220
30/07/2018,80275,80275
27/07/2018,79866,79866
26/07/2018,79405,79405
25/07/2018,80218,80218
24/07/2018,79154,79154
23/07/2018,77996,77996
20/07/2018,78571,78571
19/07/2018,77486,77486
18/07/2018,77362,77362
17/07/2018,78130,78130
16/07/2018,76652,76652
13/07/2018,76594,76594
12/07/2018,75856,75856
11/07/2018,74398,74398
10/07/2018,74862,74862
09/07/2018,,
06/07/2018,75010,75010
05/07/2018,74553,74553
04/07/2018,74743,74743
03/07/2018,73667,73667
02/07/2018,72839,72839
29/06/2018,72762,72762
28/06/2018,71766,71766
27/06/2018,70609,70609
26/06/2018,71404,71404
25/06/2018,70952,70952
22/06/2018,70640,70640
21/06/2018,70074,70074
20/06/2018,72123,72123
19/06/2018,71394,71394
18/06/2018,69814,69814
15/06/2018,70757,70757
14/06/2018,71421,71421
13/06/2018,72122,72122
12/06/2018,72754,72754
11/06/2018,72307,72307
08/06/2018,72942,72942
07/06/2018,73851,73851
06/06/2018,76117,76117
05/06/2018,76641,76641
04/06/2018,78596,78596
01/06/2018,77239,77239
30/05/2018,76753,76753
29/05/2018,76071,76071
28/05/2018,75355,75355
25/05/2018,78897,78897
24/05/2018,80122,80122
23/05/2018,80867,80867
22/05/2018,82738,82738
21/05/2018,81815,81815
18/05/2018,83081,83081
17/05/2018,83621,83621
16/05/2018,86536,86536
15/05/2018,85130,85130
14/05/2018,85232,85232
11/05/2018,85220,85220
10/05/2018,85861,85861
09/05/2018,84265,84265
08/05/2018,82956,82956
07/05/2018,82714,82714
04/05/2018,83118,83118
03/05/2018,83288,83288
02/05/2018,84547,84547
